Date;Close;Volume;Market Cap
2022-02-08;1,95;1835279905;14538743902
2022-02-09;2,04;1429153482;15247364920
2022-02-10;1,90;1977316273;14176036418
2022-02-11;1,71;1779123711;12820691263
2022-02-12;1,70;1053381539;12707706992
2022-02-13;1,67;692184777;12487206686
2022-02-14;1,66;1066674333;12403882624
2022-02-15;1,86;1226641281;14031532537
2022-02-16;1,84;1194666956;13848281275
2022-02-17;1,66;1137626487;12479999469
2022-02-18;1,60;1018489090;12017852079
2022-02-19;1,63;641146699;12291430405
2022-02-20;1,52;846724841;11417788007
2022-02-21;1,41;1583251489;10611373740
2022-02-22;1,46;1347670062;11030835895
2022-02-23;1,44;1457761250;10864359620
2022-02-24;1,44;2679134468;10851434529
2022-02-25;1,55;1599951072;11688571514
2022-02-26;1,52;898567950;11422057534
2022-02-27;1,45;1047102113;10952514312
2022-02-28;1,61;1205482070;12177144739
2022-03-01;1,62;1420105585;12253938907
2022-03-02;1,64;1415870294;12358937456
2022-03-03;1,58;990710018;11974759286
2022-03-04;1,47;978462899;11204796057
2022-03-05;1,51;559768269;11457920433
2022-03-06;1,44;578861412;10914235774
2022-03-07;1,42;1012797548;10856014015
2022-03-08;1,45;896799907;11077690640
2022-03-09;1,51;988921763;11549316945
2022-03-10;1,44;949122528;11031031593
2022-03-11;1,41;822568507;10780450932
2022-03-12;1,40;490928601;10726648473
2022-03-13;1,36;443402681;10446055342
2022-03-14;1,38;752768010;10561203464
2022-03-15;1,38;651542710;10614749334
2022-03-16;1,47;889458609;11292789641
2022-03-17;1,45;676449034;11152462614
2022-03-18;1,50;668540821;11540683067
2022-03-19;1,53;652091500;11760142669
2022-03-20;1,46;526734391;11266425868
2022-03-21;1,47;588441134;11286229887
2022-03-22;1,51;730610243;11586033164
2022-03-23;1,56;710942406;11977413434
2022-03-24;1,63;980186016;12543234642
2022-03-25;1,58;766975763;12164398671
2022-03-26;1,61;446969054;12404909394
2022-03-27;1,69;607365423;13041615029
2022-03-28;1,66;856594012;12786753380
2022-03-29;1,67;839051724;12897654477
2022-03-30;1,68;826807407;12973365674
2022-03-31;1,62;958791018;12454828324
2022-04-01;1,69;895563591;13142216649
2022-04-02;1,65;749914594;12832739138
2022-04-03;1,69;595925446;13102616373
2022-04-04;1,65;661924401;12800874798
2022-04-05;1,59;568845904;12358664867
2022-04-06;1,46;867123003;11317680391
2022-04-07;1,51;596685968;11746776724
2022-04-08;1,44;552171258;11138880835
2022-04-09;1,46;378660128;11360929462
2022-04-10;1,43;340128592;11121529730
2022-04-11;1,33;668911504;10410078422
2022-04-12;1,39;805426805;10876195871
2022-04-13;1,42;616413598;11088886367
2022-04-14;1,37;601697104;10718258725
2022-04-15;1,40;407765536;10903945008
2022-04-16;1,39;312257705;10861080185
2022-04-17;1,34;340111263;10463955827
2022-04-18;1,42;726096353;11097074828
2022-04-19;1,43;630841720;11151900107
2022-04-20;1,42;648103958;11070441964
2022-04-21;1,38;652619938;10774644840
2022-04-22;1,40;1281222594;10934080974
2022-04-23;1,37;549446712;10674881895
2022-04-24;1,34;420960265;10505097607
2022-04-25;1,35;713007261;10570900950
2022-04-26;1,24;616935925;9749857815
2022-04-27;1,26;530689528;9871402282
2022-04-28;1,24;522202999;9723990411
2022-04-29;1,14;666945892;8952252981
2022-04-30;1,04;627531506;8129464406
2022-05-01;1,10;764724203;8642885733
2022-05-02;1,08;719881928;8457866008
2022-05-03;1,08;541950449;8445060701
2022-05-04;1,17;742971942;9191276375
2022-05-05;1,06;759187845;8356618235
2022-05-06;1,04;704670768;8195260725
2022-05-07;1,02;618880005;8015295145
2022-05-08;0,9743;571608859;7647501916
2022-05-09;0,8219;992729889;6451099506
2022-05-10;0,8904;1574312271;6988698226
2022-05-11;0,6663;1825527072;5229630505
2022-05-12;0,6015;1212553919;4721401130
2022-05-13;0,6675;920972261;5306202533
2022-05-14;0,6861;658971093;5454024086
2022-05-15;0,7376;579515915;5862815861
2022-05-16;0,6773;624793295;5383624066
2022-05-17;0,7269;603630385;5778361548
2022-05-18;0,6276;583536015;4989783651
2022-05-19;0,6588;562277160;5238166204
2022-05-20;0,6365;471529777;5060807518
2022-05-21;0,6493;336382745;5162803937
2022-05-22;0,6783;366281413;5393170983
2022-05-23;0,6419;526180432;5103970015
2022-05-24;0,6616;491165132;5259924815
2022-05-25;0,6459;431704050;5135676780
2022-05-26;0,6011;639244926;4782147705
2022-05-27;0,5736;593527918;4563471115
